,STUDYSOP,STATUS,DateField,PopulatedCount,% Populated,MissinnessCount,% Missingness
128,GNT01,Ongoing,COMPLETIONDATE,1343.0,99.85130111524163,2.0,0.14869888475836432
129,GNT01,Ongoing,FINALREPORTDATE,1252.0,93.08550185873607,93.0,6.91449814126394
130,GNT01,Ongoing,FSFV,0.0,0.0,1345.0,100.0
131,GNT01,Ongoing,LSLV,0.0,0.0,1345.0,100.0
132,GNT01,Approved,COMPLETIONDATE,9.0,90.0,1.0,10.0
133,GNT01,Approved,FINALREPORTDATE,9.0,90.0,1.0,10.0
134,GNT01,Approved,FSFV,0.0,0.0,10.0,100.0
135,GNT01,Approved,LSLV,0.0,0.0,10.0,100.0
136,GNT01,Approved,COMPLETIONDATE,40.0,97.5609756097561,1.0,2.4390243902439024
137,GNT01,Approved,FINALREPORTDATE,30.0,73.17073170731707,11.0,26.82926829268293
138,GNT01,Approved,FSFV,0.0,0.0,41.0,100.0
139,GNT01,Approved,LSLV,0.0,0.0,41.0,100.0
140,GNT01,Approved,COMPLETIONDATE,4.0,100.0,0.0,0.0
141,GNT01,Approved,FINALREPORTDATE,4.0,100.0,0.0,0.0
142,GNT01,Approved,FSFV,0.0,0.0,4.0,100.0
143,GNT01,Approved,LSLV,0.0,0.0,4.0,100.0
144,GNT01,Ongoing,COMPLETIONDATE,9.0,100.0,0.0,0.0
145,GNT01,Ongoing,FINALREPORTDATE,9.0,100.0,0.0,0.0
146,GNT01,Ongoing,FSFV,0.0,0.0,9.0,100.0
147,GNT01,Ongoing,LSLV,0.0,0.0,9.0,100.0
148,GNT01,Approved,COMPLETIONDATE,16.0,100.0,0.0,0.0
149,GNT01,Approved,FINALREPORTDATE,15.0,93.75,1.0,6.25
150,GNT01,Approved,FSFV,0.0,0.0,16.0,100.0
151,GNT01,Approved,LSLV,0.0,0.0,16.0,100.0
152,GNT01,Completed,COMPLETIONDATE,8.0,100.0,0.0,0.0
153,GNT01,Completed,FINALREPORTDATE,8.0,100.0,0.0,0.0
154,GNT01,Completed,FSFV,0.0,0.0,8.0,100.0
155,GNT01,Completed,LSLV,0.0,0.0,8.0,100.0
156,GNT01,Terminated,COMPLETIONDATE,297.0,100.0,0.0,0.0
157,GNT01,Terminated,FINALREPORTDATE,142.0,47.81144781144781,155.0,52.18855218855219
158,GNT01,Terminated,FSFV,0.0,0.0,297.0,100.0
159,GNT01,Terminated,LSLV,0.0,0.0,297.0,100.0
160,GNT01,Canceled,COMPLETIONDATE,110.0,75.86206896551724,35.0,24.137931034482758
161,GNT01,Canceled,FINALREPORTDATE,0.0,0.0,145.0,100.0
162,GNT01,Canceled,FSFV,0.0,0.0,145.0,100.0
163,GNT01,Canceled,LSLV,0.0,0.0,145.0,100.0
164,GNT01,Canceled,COMPLETIONDATE,16.0,80.0,4.0,20.0
165,GNT01,Canceled,FINALREPORTDATE,0.0,0.0,20.0,100.0
166,GNT01,Canceled,FSFV,0.0,0.0,20.0,100.0
167,GNT01,Canceled,LSLV,0.0,0.0,20.0,100.0
168,GNT01,Canceled,COMPLETIONDATE,15.0,100.0,0.0,0.0
169,GNT01,Canceled,FINALREPORTDATE,0.0,0.0,15.0,100.0
170,GNT01,Canceled,FSFV,0.0,0.0,15.0,100.0
171,GNT01,Canceled,LSLV,0.0,0.0,15.0,100.0
172,GNT01,Canceled,COMPLETIONDATE,24.0,96.0,1.0,4.0
173,GNT01,Canceled,FINALREPORTDATE,0.0,0.0,25.0,100.0
174,GNT01,Canceled,FSFV,0.0,0.0,25.0,100.0
175,GNT01,Canceled,LSLV,0.0,0.0,25.0,100.0
176,GNT01,Canceled,COMPLETIONDATE,13.0,100.0,0.0,0.0
177,GNT01,Canceled,FINALREPORTDATE,0.0,0.0,13.0,100.0
178,GNT01,Canceled,FSFV,0.0,0.0,13.0,100.0
179,GNT01,Canceled,LSLV,0.0,0.0,13.0,100.0
180,GNT01,Canceled,COMPLETIONDATE,332.0,98.80952380952381,4.0,1.1904761904761905
181,GNT01,Canceled,FINALREPORTDATE,0.0,0.0,336.0,100.0
182,GNT01,Canceled,FSFV,0.0,0.0,336.0,100.0
183,GNT01,Canceled,LSLV,0.0,0.0,336.0,100.0
184,GNT01,Terminated,COMPLETIONDATE,14.0,100.0,0.0,0.0
185,GNT01,Terminated,FINALREPORTDATE,0.0,0.0,14.0,100.0
186,GNT01,Terminated,FSFV,0.0,0.0,14.0,100.0
187,GNT01,Terminated,LSLV,0.0,0.0,14.0,100.0
188,GNT01,External,COMPLETIONDATE,4.0,100.0,0.0,0.0
